feature,percision,recall,fbeta
workclass,0.6991643454038997,0.2487611496531219,0.3669590643274854
workclass,0.675,0.19852941176470587,0.3068181818181818
workclass,0.9565217391304348,0.35772357723577236,0.5207100591715976
workclass,0.7058823529411765,0.16,0.2608695652173913
workclass,0.8095238095238095,0.31875,0.45739910313901344
workclass,0.7419354838709677,0.2911392405063291,0.41818181818181815
workclass,0.5625,0.225,0.3214285714285714
education,0.6346153846153846,0.23157894736842105,0.33933161953727503
education,0.5714285714285714,0.20118343195266272,0.2975929978118162
education,0.8456375838926175,0.27631578947368424,0.41652892561983473
education,0.855072463768116,0.295,0.4386617100371747
education,0.625,0.3125,0.4166666666666667
education,0.5,0.18181818181818182,0.26666666666666666
education,0.5769230769230769,0.2054794520547945,0.30303030303030304
education,0.975,0.4431818181818182,0.6093749999999999
education,0.7777777777777778,0.25925925925925924,0.3888888888888889
education,0.95,0.2753623188405797,0.42696629213483145
education,1.0,1.0,1.0
education,0.25,0.14285714285714285,0.18181818181818182
education,0.0,0.0,1.0
education,0.25,0.16666666666666666,0.2
education,0.3333333333333333,0.1,0.15384615384615383
education,1.0,0.5,0.6666666666666666
marital-status,0.8123456790123457,0.23771676300578035,0.36780324203465625
marital-status,0.45454545454545453,0.39215686274509803,0.4210526315789474
marital-status,0.6,0.3626373626373626,0.4520547945205479
marital-status,0.8571428571428571,0.6,0.7058823529411764
marital-status,0.6,0.35294117647058826,0.4444444444444445
marital-status,0.42857142857142855,0.17647058823529413,0.25
marital-status,1.0,0.0,0.0
occupation,0.391304347826087,0.20930232558139536,0.2727272727272727
occupation,0.22727272727272727,0.1724137931034483,0.19607843137254902
occupation,0.8571428571428571,0.30848329048843187,0.4536862003780718
occupation,0.6290322580645161,0.22033898305084745,0.3263598326359833
occupation,0.36363636363636365,0.2857142857142857,0.32
occupation,0.6818181818181818,0.4838709677419355,0.5660377358490567
occupation,0.5365853658536586,0.24444444444444444,0.33587786259541985
occupation,0.7887323943661971,0.25688073394495414,0.38754325259515565
occupation,0.631578947368421,0.15584415584415584,0.24999999999999997
occupation,0.8976377952755905,0.2753623188405797,0.421441774491682
occupation,0.5,0.08888888888888889,0.1509433962264151
occupation,0.5625,0.225,0.3214285714285714
occupation,0.8888888888888888,0.14545454545454545,0.25
occupation,0.0,1.0,0.0
relationship,0.8238636363636364,0.23405972558514931,0.3645505971087366
relationship,0.5555555555555556,0.36312849162011174,0.4391891891891892
relationship,0.22727272727272727,0.38461538461538464,0.2857142857142857
relationship,0.7872340425531915,0.2605633802816901,0.3915343915343915
relationship,0.625,0.3488372093023256,0.44776119402985076
relationship,0.5,0.8333333333333334,0.625
race,0.7387033398821218,0.2542258282623394,0.37826961770623746
race,0.6486486486486487,0.2857142857142857,0.396694214876033
race,0.75,0.5,0.6
race,0.6875,0.22916666666666666,0.34375
race,0.5,0.6,0.5454545454545454
sex,0.7644444444444445,0.24730409777138748,0.37370994024986426
sex,0.5983606557377049,0.31601731601731603,0.4135977337110482
native-country,0.7372400756143668,0.261219022103148,0.3857566765578635
native-country,1.0,1.0,1.0
native-country,0.3333333333333333,0.09090909090909091,0.14285714285714288
native-country,1.0,0.2,0.33333333333333337
native-country,1.0,0.375,0.5454545454545454
native-country,0.0,0.0,1.0
native-country,1.0,0.0,0.0
native-country,0.6,0.25,0.35294117647058826
native-country,0.3333333333333333,0.3333333333333333,0.3333333333333333
native-country,0.0,1.0,0.0
native-country,1.0,0.5,0.6666666666666666
native-country,0.6666666666666666,0.2857142857142857,0.4
native-country,1.0,0.3333333333333333,0.5
native-country,1.0,0.25,0.4
native-country,1.0,0.0,0.0
native-country,0.0,0.0,1.0
native-country,1.0,1.0,1.0
native-country,0.0,0.0,1.0
native-country,1.0,0.0,0.0
native-country,1.0,1.0,1.0
native-country,1.0,1.0,1.0
native-country,0.3333333333333333,0.3333333333333333,0.3333333333333333
native-country,1.0,0.5,0.6666666666666666
native-country,0.0,0.0,1.0
native-country,1.0,0.2857142857142857,0.4444444444444445
native-country,1.0,0.5,0.6666666666666666
native-country,1.0,0.0,0.0
native-country,1.0,1.0,1.0
native-country,1.0,0.0,0.0
native-country,1.0,0.0,0.0
native-country,1.0,1.0,1.0
native-country,1.0,1.0,1.0
native-country,1.0,0.2222222222222222,0.3636363636363636
native-country,1.0,1.0,1.0
native-country,1.0,1.0,1.0
native-country,1.0,0.0,0.0
native-country,1.0,1.0,1.0
native-country,1.0,1.0,1.0
native-country,1.0,0.0,0.0
native-country,1.0,0.5,0.6666666666666666
native-country,1.0,0.0,0.0
native-country,1.0,1.0,1.0
